Country of origin (ISO),Country of asylum (ISO),Country of origin,Country of asylum,FDP,Income group,population,asylum_latitude,asylum_longitude,origin_latitude,origin_longitude,FDP over pop,fdprank,rank
AFG,IRN,Afghanistan,Iran,778054,Upper middle income,85028760,32.427908,53.688046,33.93911,67.709953,915.048037863895,2,1
AFG,PAK,Afghanistan,Pakistan,1503822,Lower middle income,225199929,30.375321,69.345116,33.93911,67.709953,667.77196896896,1,2
AFG,AUT,Afghanistan,Austria,48285,High income,8956279,47.516231,14.550072,33.93911,67.709953,539.118980103233,6,3
AFG,GRC,Afghanistan,Greece,37685,High income,10664568,39.074208,21.824312,33.93911,67.709953,353.366399839168,7,4
AFG,SWE,Afghanistan,Sweden,29386,High income,10415811,60.128161,18.643501,33.93911,67.709953,282.128775186109,8,5
AFG,NRU,Afghanistan,Nauru,28,Upper middle income,10873,-0.522778,166.931503,33.93911,67.709953,257.51862411478,66,6
AFG,DEU,Afghanistan,Germany,203373,High income,83129285,51.165691,10.451526,33.93911,67.709953,244.646636862088,3,7
AFG,CHE,Afghanistan,Switzerland,16560,High income,8697723,46.818188,8.227512,33.93911,67.709953,190.39465846406,10,8
AFG,TUR,Afghanistan,Turkey,140709,Upper middle income,85042736,38.963745,35.243322,33.93911,67.709953,165.456812207923,4,9
AFG,TJK,Afghanistan,Tajikistan,13765,Low income,9749625,38.861034,71.276093,33.93911,67.709953,141.184917368617,13,10
AFG,BEL,Afghanistan,Belgium,13234,High income,11587882,50.503887,4.469936,33.93911,67.709953,114.205512275669,14,11
AFG,LUX,Afghanistan,Luxembourg,627,High income,639070,49.815273,6.129583,33.93911,67.709953,98.1113180089818,36,12
AFG,FRA,Afghanistan,France,59484,High income,67499343,46.227638,2.213749,33.93911,67.709953,88.1253021973858,5,13
AFG,FIN,Afghanistan,Finland,4178,High income,5541696,61.92411,25.748151,33.93911,67.709953,75.3920821351442,20,14
AFG,BGR,Afghanistan,Bulgaria,4845,Upper middle income,6899125,42.733883,25.48583,33.93911,67.709953,70.2262968130017,19,15
AFG,NOR,Afghanistan,Norway,3599,High income,5408320,60.472024,8.468946,33.93911,67.709953,66.5456186024496,21,16
AFG,ISL,Afghanistan,Iceland,197,High income,372295,64.963051,-19.020835,33.93911,67.709953,52.915027061873,45,17
AFG,AUS,Afghanistan,Australia,12318,High income,25739256,-25.274398,133.775136,33.93911,67.709953,47.856861130718,16,18
AFG,NLD,Afghanistan,Netherlands,7489,High income,17533405,52.132633,5.291266,33.93911,67.709953,42.7127531703055,17,19
AFG,DNK,Afghanistan,Denmark,2236,High income,5856733,56.26392,9.501785,33.93911,67.709953,38.1782813046113,26,20
AFG,UZB,Afghanistan,Uzbekistan,13032,Lower middle income,34915100,41.377491,64.585262,33.93911,67.709953,37.3248250756836,15,21
AFG,ITA,Afghanistan,Italy,17936,High income,59066225,41.87194,12.56738,33.93911,67.709953,30.3659155464904,9,22
AFG,GBR,Afghanistan,United Kingdom,14585,High income,67326569,55.378051,-3.435973,33.93911,67.709953,21.6630673694363,12,23
AFG,SVN,Afghanistan,Slovenia,399,High income,2107007,46.151241,14.995463,33.93911,67.709953,18.9368141634081,40,24
AFG,HUN,Afghanistan,Hungary,1467,High income,9709886,47.162494,19.503304,33.93911,67.709953,15.1083133210833,28,25
AFG,IRL,Afghanistan,Ireland,719,High income,5028230,53.41291,-8.24389,33.93911,67.709953,14.2992663422318,34,26
AFG,CYP,Afghanistan,Cyprus,160,High income,1215588,35.126413,33.429859,33.93911,67.709953,13.1623543503226,48,27
AFG,LIE,Afghanistan,Liechtenstein,5,High income,38254,47.166,9.555373,33.93911,67.709953,13.0705285721755,95,28
AFG,HRV,Afghanistan,Croatia,490,High income,3899000,45.1,15.2,33.93911,67.709953,12.5673249551167,39,29
AFG,AZE,Afghanistan,Azerbaijan,1215,Upper middle income,10145212,40.143105,47.576927,33.93911,67.709953,11.9760927617875,29,30
AFG,MYS,Afghanistan,Malaysia,2803,Upper middle income,32776195,4.210484,101.975766,33.93911,67.709953,8.55193838088893,23,31
AFG,LTU,Afghanistan,Lithuania,239,High income,2795321,55.169438,23.881275,33.93911,67.709953,8.55000194968664,43,32
AFG,KGZ,Afghanistan,Kyrgyzstan,522,Lower middle income,6694200,41.20438,74.766098,33.93911,67.709953,7.79779510621135,38,33
AFG,CAN,Afghanistan,Canada,2662,High income,38246108,56.130366,-106.346771,33.93911,67.709953,6.96018533441363,24,34
AFG,PRT,Afghanistan,Portugal,715,High income,10299423,39.399872,-8.224454,33.93911,67.709953,6.94213646725647,35,35
AFG,LVA,Afghanistan,Latvia,127,High income,1883162,56.879635,24.603189,33.93911,67.709953,6.74397635466306,52,36
AFG,SYR,Afghanistan,Syria,1149,Low income,18275704,34.802075,38.996815,33.93911,67.709953,6.28703550900146,31,37
AFG,SVK,Afghanistan,Slovakia,342,High income,5447247,48.669026,19.699024,33.93911,67.709953,6.27840081420945,41,38
AFG,ROU,Afghanistan,Romania,1066,Upper middle income,19115146,45.943161,24.96676,33.93911,67.709953,5.57672957350156,33,39
AFG,ESP,Afghanistan,Spain,2248,High income,47326687,40.463667,-3.74922,33.93911,67.709953,4.74996274300798,25,40
AFG,UKR,Afghanistan,Ukraine,1958,Lower middle income,43814581,48.379433,31.16558,33.93911,67.709953,4.46883196258342,27,41
AFG,KAZ,Afghanistan,Kazakhstan,614,Upper middle income,19002586,48.019573,66.923684,33.93911,67.709953,3.23113917232107,37,42
AFG,POL,Afghanistan,Poland,1151,High income,37781024,51.919438,19.145136,33.93911,67.709953,3.04650292167835,30,43
AFG,IDN,Afghanistan,Indonesia,7438,Lower middle income,276361788,-0.789275,113.921327,33.93911,67.709953,2.69139957945271,18,44
AFG,EST,Afghanistan,Estonia,25,High income,1329254,58.595272,25.013607,33.93911,67.709953,1.88075416737508,69,45
AFG,GEO,Afghanistan,Georgia,69,Upper middle income,3708610,42.315407,43.356892,33.93911,67.709953,1.86053534882341,59,46
AFG,CZE,Afghanistan,Czechia,186,High income,10703446,49.817492,15.472962,33.93911,67.709953,1.7377581014563,46,47
AFG,BLR,Afghanistan,Belarus,141,Upper middle income,9340314,53.709807,27.953389,33.93911,67.709953,1.5095852237944,50,48
AFG,NZL,Afghanistan,New Zealand,74,High income,5122600,-40.900557,174.885971,33.93911,67.709953,1.44457892476477,58,49
AFG,IND,Afghanistan,India,16247,Lower middle income,1393409033,20.593684,78.96288,33.93911,67.709953,1.16598928349275,11,50
AFG,MLT,Afghanistan,Malta,5,High income,516869,35.937496,14.375416,33.93911,67.709953,0.967363103610393,98,51
AFG,FJI,Afghanistan,Fiji,8,Upper middle income,902899,-16.578193,179.414413,33.93911,67.709953,0.886034872117479,87,52
AFG,USA,Afghanistan,United States,2861,High income,331893745,37.09024,-95.712891,33.93911,67.709953,0.862022874218374,22,53
AFG,ECU,Afghanistan,Ecuador,147,Upper middle income,17888474,-1.831239,-78.183406,33.93911,67.709953,0.821758189099864,49,54
AFG,MNE,Afghanistan,Montenegro,5,Upper middle income,620173,42.708678,19.37439,33.93911,67.709953,0.806226649660659,96,55
AFG,RUS,Afghanistan,Russian Federation,1114,Upper middle income,143446060,61.52401,105.318756,33.93911,67.709953,0.776598534668711,32,56
AFG,BIH,Afghanistan,Bosnia and Herzegovina,25,Upper middle income,3263459,43.915886,17.679076,33.93911,67.709953,0.766058344842083,68,57
AFG,SAU,Afghanistan,Saudi Arabia,231,High income,35340680,23.885942,45.079162,33.93911,67.709953,0.653637677599865,44,58
AFG,LKA,Afghanistan,Sri Lanka,140,Upper middle income,22156000,7.873054,80.771797,33.93911,67.709953,0.631883011373894,51,59
AFG,SRB,Afghanistan,Serbia,42,Upper middle income,6844078,44.016521,21.005859,33.93911,67.709953,0.613669218848762,62,60
AFG,CHL,Afghanistan,Chile,100,High income,19212362,-35.675147,-71.542969,33.93911,67.709953,0.520498208393117,55,61
AFG,LBN,Afghanistan,Lebanon,35,Upper middle income,6769151,33.854721,35.862285,33.93911,67.709953,0.517051547527895,63,62
AFG,MDA,Afghanistan,Rep. of Moldova,12,Lower middle income,2573928,47.411631,28.369885,33.93911,67.709953,0.466213507137729,77,63
AFG,KWT,Afghanistan,Kuwait,17,High income,4328553,29.31166,47.481766,33.93911,67.709953,0.392740945992806,73,64
AFG,MKD,Afghanistan,North Macedonia,8,Upper middle income,2065092,41.608635,21.745275,33.93911,67.709953,0.387391941860217,88,65
AFG,ARE,Afghanistan,United Arab Emirates,35,High income,9991083,23.424076,53.847818,33.93911,67.709953,0.350312373543489,64,66
AFG,PNG,Afghanistan,Papua New Guinea,30,Lower middle income,9119005,-6.314993,143.95555,33.93911,67.709953,0.328983260783386,65,67
AFG,URY,Afghanistan,Uruguay,11,High income,3485152,-32.522779,-55.765835,33.93911,67.709953,0.315624684375316,79,68
AFG,IRQ,Afghanistan,Iraq,107,Upper middle income,41179351,33.223191,43.679291,33.93911,67.709953,0.259838966379048,53,69
AFG,PAN,Afghanistan,Panama,11,High income,4381583,8.537981,-80.782127,33.93911,67.709953,0.251050818847891,80,70
AFG,THA,Afghanistan,Thailand,173,Upper middle income,69950844,15.870032,100.992541,33.93911,67.709953,0.247316529876323,47,71
AFG,QAT,Afghanistan,Qatar,7,High income,2930524,25.354826,51.183884,33.93911,67.709953,0.238865131287101,89,72
AFG,NPL,Afghanistan,Nepal,64,Low income,29674920,28.394857,84.124008,33.93911,67.709953,0.215670337106216,60,73
AFG,KOR,Afghanistan,Rep. of Korea,105,High income,51744876,35.907757,127.766922,33.93911,67.709953,0.202918642611106,54,74
AFG,ALB,Afghanistan,Albania,5,Upper middle income,2811666,41.153332,20.168331,33.93911,67.709953,0.17783051045181,94,75
AFG,JOR,Afghanistan,Jordan,18,Upper middle income,10269022,30.585164,36.238414,33.93911,67.709953,0.175284462337309,71,76
